"","yi","vi","ID","Paper.Number","Experiment.Number","Effect.Size.Number","Paper.and.Exp","Paper","Publication.Year","DOI","Article.Title","Journal","Design","Total.N","N_Intervention","N_Control","Begin.Selection.Factors","sample","Measure","task","sound","End.Selection.Factors","Begin.Selection.Numerics","IF","db","End.Selection.Numerics","sound_type","mean_C","var_C","mean_E","var_E","var_type","d","d_var","g","g_var","CI95_L","CI95_R"
"116",0.244701215626711,0.0883692353592526,26,26,1,1,"Johansson (1983)","Johansson (1983)",1983,"not recorded","not recorded","Ergonomics","between",66,44,22,"","children","prop_correct","select word","noise","","",1.449,59.2,"","continuous+intermittent",96.55,4.38,97.54,3.495,"SD",0.24917745737598,0.0916318264773274,0.244701215626711,0.0883692353592526,-0.337947267213591,0.827349698467012
"117",-0.274057712417555,0.0202937576342326,27,27,1,1,"Halin (2016)","Halin (2016)",2016,"not recorded","not recorded","Frontiers in Psychology","within",28,28,28,"","adults","prop_correct","reading comprehension (easy font)","speech+noise","","",2.463,60,"",NA,0.512266197933391,0.0294277382938876,0.453549188224004,0.0273391034053076,"SE",-0.393444013808062,0.0214814377916355,-0.274057712417555,0.0202937576342326,-0.553271786790012,0.00515636195490227
"63",0.00510200692384848,0.0167532067940418,29,29,1,1,"Cauchard et al. (2012)","Cauchard et al. (2012)",2012,"not recorded","not recorded","Applied Cognitive Psychology","within",30,30,30,"","adults","prop_correct","reading comprehension","music+speech","","",1.481,65,"",NA,0.87,0.03,0.865,0.03,"SE",0.00730989833005313,0.0176627200136482,0.00510200692384848,0.0167532067940418,-0.248588984678122,0.258792998525819
"119",-0.440623937483267,0.0245897869760515,30,30,1,1,"Johansson et al. (2012)","Johansson et al. (2012)",2012,"not recorded","not recorded","Psychology of Music","within",24,24,24,"","adults","prop_correct","reading comprehension","music+noise","","",2.01,65,"",NA,62.5,24.5,45.3333333333333,28.8,"SD",-0.635795255166643,0.0262949413673402,-0.440623937483267,0.0245897869760515,-0.747974105284098,-0.133273769682435
"33.1",-0.104503138261656,0.0138932341840825,33,33,1,1,"Martin et al. (1988), Exp.1","Martin et al. (1988)",1988,"not recorded","not recorded","Journal of Memory and Language","within",36,36,36,"","adults","perc_correct","reading comprehension","music+speech+noise","","",5.218,82,"",NA,72.1,NA,67.54,NA,NA,-0.149037549016032,0.0145129313186991,-0.104503138261656,0.0138932341840825,-0.335527484254824,0.126521207731513
"121",-0.0275332620798979,0.0137019398647651,34,33,2,1,"Martin et al. (1988), Exp.2","Martin et al. (1988)",1988,"not recorded","not recorded","Journal of Memory and Language","within",36,36,36,"","adults","perc_correct","reading comprehension","music","","",5.218,82,"","vocal+instrumental",67,NA,64.5,NA,NA,-0.0392666666768389,0.0143131044618905,-0.0275332620798979,0.0137019398647651,-0.256961621670603,0.201895097510807
"122",-0.188675328054734,0.0108112544748074,35,33,4,1,"Martin et al. (1988), Exp.4","Martin et al. (1988)",1988,"not recorded","not recorded","Journal of Memory and Language","within",48,48,48,"","adults","perc_correct","reading comprehension","noise+speech","","",5.218,82,"",NA,69.4,NA,62.9666666666667,NA,NA,-0.267565042844358,0.0111666693563781,-0.188675328054734,0.0108112544748074,-0.392470605699776,0.0151199495903086
"123",-0.249216767082606,0.0110446509224982,36,33,5,1,"Martin et al. (1988), Exp.5","Martin et al. (1988)",1988,"not recorded","not recorded","Journal of Memory and Language","within",48,48,48,"","adults","perc_correct","reading comprehension","noise+speech","","",5.218,82,"",NA,67.5,NA,57.1,NA,NA,-0.353420320767354,0.011407738601986,-0.249216767082606,0.0110446509224982,-0.455200094038622,-0.0432334401265901
"124",-0.167590795742448,0.0482576960630494,37,33,2,1,"Cool et al. (1994), Exp.2","Cool et al. (1994)",1994,"not recorded","not recorded","The Journal of Experimental Education","within",9,9,9,"","children","prop_correct","reading comprehension","speech+music","","",1.638,NA,"",NA,84,13.8,80.195,15.65,"SD",-0.258907303035983,0.0591526095874879,-0.167590795742448,0.0482576960630494,-0.598156429758693,0.262974838273796
"94",-0.00575766531158586,0.00555012812622553,38,38,1,1,"Mitchell (1949)","Mitchell (1949)",1949,"not recorded","not recorded","The Journal of Educational Research","within",91,91,91,"","children","reading_score","reading test (composite)","music","","",1.218,NA,"","radio/ generic",147.31,NA,147.2,NA,NA,-0.0081017967152831,0.00564406374697065,-0.00575766531158586,0.00555012812622553,-0.151776062130987,0.140260731507815
"125",-0.556628898794135,0.0635562820535566,39,39,1,1,"Armstrong et al. (1991)","Armstrong et al. (1991)",1991,"not recorded","not recorded","Communications Monographs","between",95,62,33,"","adults","reading_score","reading comprehension","speech","","",2.029,NA,"","TV ads+drama",9.23,NA,7.775,NA,NA,-0.563489398535337,0.0651298595328283,-0.556628898794135,0.0635562820535566,-1.050752176061,-0.062505621527274
"126",-0.298288860641003,0.0657479274288451,40,40,1,1,"Pool et al. (2000), Exp.1","Pool et al. (2000)",2000,"not recorded","not recorded","Communication Research","between",90,60,30,"","children","prop_correct","reading comprehension","speech+music","","",1.976,60,"",NA,0.755,0.095,0.7275,0.0875,"SD",-0.30221371407049,0.0674895189968183,-0.298288860641003,0.0657479274288451,-0.800859490513712,0.204281769231705
"127",-0.33467408175922,0.0623232475572722,41,40,2,1,"Pool et al. (2000), Exp.2","Pool et al. (2000)",2000,"not recorded","not recorded","Communication Research","between",96,48,48,"","children","prop_correct","reading comprehension","speech+music","","",1.976,60,"",NA,0.76,0.105,0.72,0.1175,"SD",-0.338311843517473,0.0636854640976899,-0.33467408175922,0.0623232475572722,-0.823980721624261,0.154632558105821
"128",0.0447523414186897,0.039268869289176,42,42,1,1,"Dockrell & Shield (2006)","Dockrell & Shield (2006)",2006,"not recorded","not recorded","British Educational Research Journal","between",156,104,52,"","children","reading_score","reading comprehension","noise","","",1.124,65,"",NA,33.45,11.62,33.535,10.59,"SD",0.0450846607856602,0.0398542356685785,0.0447523414186897,0.039268869289176,-0.343648596094724,0.433153278932103
"129",-0.0864487140989384,0.011960358054078,43,43,1,1,"Hyönä & Ekholm (2016), Exp.1","Hyönä & Ekholm (2016)",2016,"not recorded","not recorded","PloS One","within",42,42,42,"","adults","perc_correct","reading comprehension","speech","","",3.057,82.5,"","native+foreign",78,15,76.25,13.75,"SD",-0.122890025591155,0.0124130762944844,-0.0864487140989384,0.011960358054078,-0.300801021062372,0.127903592864496
"1171",-0.0929478600963977,0.0985960405726554,47,47,1,1,"Armstrong & Chung (2000)","Armstrong & Chung (2000)",2000,"not recorded","not recorded","Communication Research","between",39,20,19,"","adults","num_correct","reading comprehension","speech","","",1.976,NA,"","native",7.84,1.46,7.7,1.49,"SD",-0.094884273848406,0.102747002350237,-0.0929478600963977,0.0985960405726554,-0.708387986724418,0.522492266531622
"1181",-0.0989274411020148,0.0394374772239933,48,48,1,1,"Madsen (1987), Exp.1","Madsen (1987)",1987,"not recorded","not recorded","NA","between",100,50,50,"","adults","num_correct","reading comprehension","music","","",NA,75,"","various",31.74,6.87,31.04,7.17,"SD",-0.0996923439971334,0.0400496928172582,-0.0989274411020148,0.0394374772239933,-0.488161320027903,0.290306437823873
"1191",-0.130795617803932,0.0211885731282041,49,49,1,1,"Sörqvist (2010b), Exp.1a","Sörqvist (2010b)",2010,"not recorded","not recorded","Journal of Environmental Psychology","within",23,23,23,"","children","prop_correct","reading comprehension","noise","","",2.647,57.5,"","aircraft",0.28,0.22,0.24,0.2,"SD",-0.189026910155713,0.0227290688785965,-0.130795617803932,0.0211885731282041,-0.416099004621034,0.15450776901317
"1201",-0.507788946998252,0.0264220974990059,50,49,2,1,"Sörqvist (2010b), Exp.1b","Sörqvist (2010b)",2010,"not recorded","not recorded","Journal of Environmental Psychology","within",23,23,23,"","children","prop_correct","reading comprehension","speech","","",2.647,57.5,"","native",0.28,0.16,0.17,0.11,"SD",-0.733860791927975,0.0283430918324795,-0.507788946998252,0.0264220974990059,-0.826384505272658,-0.189193388723845
"1211",-0.457253460499342,0.0243678426389511,51,51,1,1,"Sörqvist et al. (2010c), Exp.1","Sörqvist et al. (2010c)",2010,"not recorded","not recorded","Memory","within",24,24,24,"","adults","prop_correct","reading comprehension","speech","","",1.976,65,"","native",0.61,0.17,0.49,0.19,"SD",-0.659790710088351,0.0260576065202937,-0.457253460499342,0.0243678426389511,-0.76321343219792,-0.151293488800764
"1221",-0.303764456671845,0.0128809066826307,52,51,2,1,"Sörqvist et al. (2010c), Exp.2","Sörqvist et al. (2010c)",2010,"not recorded","not recorded","Memory","within",42,42,42,"","adults","prop_correct","reading comprehension","speech","","",1.976,65,"","native",0.54,0.15,0.47,0.17,"SD",-0.431812343806104,0.0133684691269849,-0.303764456671845,0.0128809066826307,-0.526212857682043,-0.0813160556616467
"1231",-0.104430557152325,0.0154468134233139,53,53,1,1,"Halin et al. (2014)","Halin et al. (2014)",2014,"not recorded","not recorded","Journal of Applied Research in Memory and Cognition","within",32,32,32,"","adults","prop_correct","reading comprehension","speech","","",2.063,65,"","native",59.63,NA,56.265,NA,NA,-0.149362624347651,0.0162288083528692,-0.104430557152325,0.0154468134233139,-0.348029568741048,0.139168454436397
"131",-0.702836691991319,0.0303032319820902,57,57,1,1,"Baker & Madell (1965)","Baker & Madell (1965)",1965,"not recorded","not recorded","Journal of Educational Psychology","within",24,24,24,"","adults","perc_correct","reading comprehension","speech","","",3.256,NA,"","native",79.5,18.9,49,31.5,"SD",-1.0141533310184,0.0324045795510962,-0.702836691991319,0.0303032319820902,-1.04403003304943,-0.361643350933206
"58",-0.0361862747838565,0.012371636490231,58,58,1,1,"Vasilev et al. (n.d.)","Vasilev et al. (n.d.)",2016,"not recorded","not recorded","NA","within",40,40,40,"","adults","perc_correct","reading comprehension","noise+speech","","",NA,60,"",NA,0.9363636,0.2443819,0.922727266666667,0.266711833333333,"SD",-0.0514899490655777,0.0128648098458189,-0.0361862747838565,0.012371636490231,-0.254192877300549,0.181820327732836
"138",-0.260899037382384,0.0926968058142737,59,59,1,1,"Falcon (2017), Sample 1","Falcon (2017)",2017,"not recorded","not recorded","NA","between",42,20,22,"","children","num_correct","reading comprehension","music","","",NA,55,"","classical",5.86,2.1,5.35,1.694,"SD",-0.265916326562814,0.0962963489394581,-0.260899037382384,0.0926968058142737,-0.8576435800605,0.335845505295732
"139",1.32185622165231,0.0899769597493838,60,59,1,2,"Falcon (2017), Sample 2","Falcon (2017)",2017,"not recorded","not recorded","NA","between",53,28,25,"","children","num_correct","reading comprehension","music","","",NA,55,"","classical",5.24,2.204,7.68,1.389,"SD",1.34168406497709,0.0926965133578089,1.32185622165231,0.0899769597493838,0.733931491288606,1.90978095201601
"132",-0.394385760804287,0.0299778978966542,61,61,1,1,"Ahuja (2016)","Ahuja (2016)",2016,"not recorded","not recorded","NA","within",20,20,20,"","adults","num_correct","reading comprehension","music","","",NA,60,"",NA,2.45,0.887,1.975,0.676,"SD",-0.573245255158911,0.0325281010163348,-0.394385760804287,0.0299778978966542,-0.733742641624149,-0.0550288799844239
"133",0.117542636671703,0.0641145848708147,62,62,1,1,"Kou et al. (2017)","Kou et al. (2017)",2017,"not recorded","not recorded","Psychology of Music","between",92,61,31,"","adults","num_correct","reading comprehension","music+noise","","",1.394,65,"",NA,6.5,2.52,6.8,2.45,"SD",0.1191326616847,0.0657715396498718,0.117542636671703,0.0641145848708147,-0.378746179683977,0.613831453027383
"147",0.0656537980206572,0.0616078007150812,65,65,1,1,"Gillis (2016)","Gillis (2016)",2016,"not recorded","not recorded",NA,"between",71,47,24,"","adults","num_correct","reading comprehension","music","","",NA,NA,"","various",8.39864864864865,NA,8.53040540540541,NA,NA,0.0663779207929438,0.0629742907801418,0.0656537980206572,0.0616078007150812,-0.420836209304319,0.552143805345634
